secu_code,secu_abbr,chi_spelling,listed_date,listed_sector,industry_code,first_industry_name,second_industry_name,third_industry_name
"603066.SH","音飞储存","YFCC","2015.06.11",1,"420806","交通运输","物流","仓储物流"
"603067.SH","振华股份","ZHGF","2016.09.13",1,"220203","基础化工","化学原料","无机盐"
"603068.SH","博通集成","BTJC","2019.04.15",1,"270105","电子","半导体","模拟芯片设计"
"603069.SH","海汽集团","HQJT","2016.07.12",1,"420902","交通运输","铁路公路","公交"
"603070.SH","万控智造","WKZZ","2022.03.10",1,"630802","电力设备","电网设备","配电设备"
"603071.SH","物产环能","WCHN","2021.12.16",1,"740101","煤炭","煤炭开采","动力煤"
"603073.SH","彩蝶实业","CDSY","2023.03.16",1,"220401","基础化工","化学纤维","涤纶"
"603075.SH","热威股份","RWGF","2023.09.11",1,"330601","家用电器","家电零部件Ⅱ","家电零部件Ⅲ"
"603076.SH","乐惠国际","LHGJ","2017.11.13",1,"640209","机械设备","专用设备","其他专用设备"
"603077.SH","和邦生物","HBSW","2012.07.31",1,"220802","基础化工","农化制品","磷肥及磷化工"
"603078.SH","江化微","JHW","2017.04.10",1,"270601","电子","电子化学品Ⅱ","电子化学品Ⅲ"
"603079.SH","圣达生物","SDSW","2017.08.23",1,"220315","基础化工","化学制品","食品及饲料添加剂"
"603081.SH","大丰实业","DFSY","2017.04.20",1,"640209","机械设备","专用设备","其他专用设备"
"603083.SH","剑桥科技","JQKJ","2017.11.10",1,"730206","通信","通信设备","通信终端及配件"
"603086.SH","先达股份","XDGF","2017.05.11",1,"220803","基础化工","农化制品","农药"
"603087.SH","甘李药业","GLYY","2020.06.29",1,"370304","医药生物","生物制品","其他生物制品"
"603088.SH","宁波精达","NBJD","2014.11.11",1,"640101","机械设备","通用设备","机床工具"
"603090.SH","宏盛股份","HSGF","2016.08.31",1,"640106","机械设备","通用设备","其他通用设备"
"603095.SH","越剑智能","YJZN","2020.04.15",1,"640206","机械设备","专用设备","纺织服装设备"
"603096.SH","新经典","XJD","2017.04.25",1,"720902","传媒","出版","大众出版"
"603097.SH","江苏华辰","JSHC","2022.05.12",1,"630801","电力设备","电网设备","输变电设备"
"603098.SH","森特股份","STGF","2016.12.16",1,"620401","建筑装饰","专业工程","钢结构"
"603099.SH","长白山","CBS","2014.08.22",1,"461003","社会服务","旅游及景区","自然景区"
"603100.SH","川仪股份","CYGF","2014.08.05",1,"640107","机械设备","通用设备","仪器仪表"
"603101.SH","汇嘉时代","HJSD","2016.05.06",1,"450303","商贸零售","一般零售","多业态零售"
"603102.SH","百合股份","BHGF","2022.01.25",1,"340407","食品饮料","食品加工","保健品"
"603105.SH","芯能科技","XNKJ","2018.07.09",1,"410106","公用事业","电力","光伏发电"
"603108.SH","润达医疗","RDYL","2015.05.27",1,"370402","医药生物","医药商业","医药流通"
"603112.SH","华翔股份","HXGF","2020.09.17",1,"330601","家用电器","家电零部件Ⅱ","家电零部件Ⅲ"
"603113.SH","金能科技","JNKJ","2017.05.11",1,"220204","基础化工","化学原料","其他化学原料"
"603116.SH","红蜻蜓","HQT","2015.06.29",1,"350205","纺织服饰","服装家纺","鞋帽及其他"
"603119.SH","浙江荣泰","ZJRT","2023.08.01",1,"280205","汽车","汽车零部件","其他汽车零部件"
"603123.SH","翠微股份","CWGF","2012.05.03",1,"450301","商贸零售","一般零售","百货"
"603125.SH","常青科技","CQKJ","2023.04.10",1,"220309","基础化工","化学制品","其他化学制品"
"603127.SH","昭衍新药","ZYXY","2017.08.25",1,"370603","医药生物","医疗服务","医疗研发外包"
"603128.SH","华贸物流","HMWL","2012.05.29",1,"420805","交通运输","物流","跨境物流"
"603129.SH","春风动力","CFDL","2017.08.18",1,"280402","汽车","摩托车及其他","摩托车"
"603130.SH","云中马","YZM","2022.11.18",1,"350106","纺织服饰","纺织制造","其他纺织"
"603131.SH","上海沪工","SHHG","2016.06.07",1,"640106","机械设备","通用设备","其他通用设备"
"603132.SH","金徽股份","JHGF","2022.02.22",1,"240303","有色金属","工业金属","铅锌"
"603135.SH","中重科技","ZZKJ","2023.04.10",1,"640203","机械设备","专用设备","能源及重型设备"
"603136.SH","天目湖","TMH","2017.09.27",1,"461003","社会服务","旅游及景区","自然景区"
"603137.SH","恒尚节能","HSJN","2023.04.19",1,"620201","建筑装饰","装修装饰Ⅱ","装修装饰Ⅲ"
"603138.SH","海量数据","HLSJ","2017.03.06",1,"710301","计算机","IT服务Ⅱ","IT服务Ⅲ"
"603139.SH","康惠制药","KHZY","2017.04.21",1,"370201","医药生物","中药Ⅱ","中药Ⅲ"
"603150.SH","万朗磁塑","WLCS","2022.01.24",1,"220501","基础化工","塑料","其他塑料制品"
"603151.SH","邦基科技","BJKJ","2022.10.19",1,"110402","农林牧渔","饲料","畜禽饲料"
"603155.SH","新亚强","XYQ","2020.09.01",1,"220316","基础化工","化学制品","有机硅"
"603156.SH","养元饮品","YYYP","2018.02.12",1,"340701","食品饮料","饮料乳品","软饮料"
"603158.SH","腾龙股份","TLGF","2015.03.20",1,"280203","汽车","汽车零部件","底盘与发动机系统"
"603160.SH","汇顶科技","HDKJ","2016.10.17",1,"270105","电子","半导体","模拟芯片设计"
